Company,Products / Services,Primary Category (Products/Services Keywords),Secondary Category Keywords ,First Detected (Timeline Start),Expansion Phase,Current Stage
Mitsubishi UFJ Bank,MNTSQ CLM (Contract Lifecycle Management),"Contract Lifecycle Management, Third-Party CLM Platform","Contract Creation, Review & Management, Legal Operations Automation, AI Contract Review, KNowledge Management",Q2 2024,Dedicated legal CLM adoption for contract analytics and legal operations,Standardized
Mitsubishi UFJ Bank,Biz SIGN (Electronic Signature Service),"Digital Transaction Management, eSignature Platform","DocuSign eSignature Integration, Cloud Signing, Electronic Contract Execution",Q3 2022,Enterprise electronic signature usage within banking workflows,Mature
Mitsubishi UFJ Bank,DocuSign eSignature (embedded signing via Biz SIGN),"E-Signature Platform, Digital Signing","Embedded Signing, Salesforce Integration, API/Restful API, Remote Signing",Q3 2022,Enterprise-wide digital signing across legal and business processes,Mature
Mitsubishi UFJ Bank,GMO Sign (Electronic Seal / E-Signature),E-Signature Platform,"Electronic Seal, Cloud-Based Contract Execution, Paperless Contracting",Q2 2023,Digital certificate–based signing and identity verification for corporate customers,Expansion
Panasonic,MNTSQ CLM,Contract Lifecycle Management (CLM),"Contract review, post-signature contract management, knowledge management, workflow platform",Q1 2023,Enterprise CLM implementation for contract management,Expansion
Cathay Pacific,SAP Ariba Procurement Platform (Contract & Supplier Collaboration),Enterprise Procurement & Contract TechNology,"SAP Ariba Network, Supplier Onboarding, Sourcing & RFx, Purchase Orders, Contract Document Collaboration",Q3 2022,Enterprise procurement workflows and supplier onboarding via Ariba platform,Expansion
Cathay Pacific,GEP Procurement Services (Contract Support & Risk Management),"Procurement & Contract Support Services, Third-Party Platform Integration","Strategic Sourcing, Supplier Risk Mitigation, Contract Lifecycle Assist, Procurement Analytics",Q2 2020,"Procurement planning, sourcing, and forecasting solution adoption",Mature
Standard Chartered Bank,DocuSign eSignature Platform,Digital Transaction Management / E-Signature Technology,"Electronic contract signing, remote & external signer access, secure workflows, signer authentication & delegation, audit trail & completion certificates, signed PDF downloads",Q1 2025,Enterprise digital signing and contract execution,Expansion
Banco de Oro (BDO),Zycus Merlin Agentic Platform,"AI-Powered S2P Platform, CLM-Adjacent","Source-to-Pay, AI Workflow Automation, Process Efficiency",Q4 2025,Enterprise procurement and spend management platform adoption,Expansion
Westpac,Coupa Service Provider Portal (Procurement & Contracting Platform),Enterprise Procurement & Contract TechNology,"Coupa Network, Supplier Onboarding, Sourcing & RFx, Contracting Workflow, Purchase Orders",Q3 2025,Cloud-based procurement and spend management adoption,Expansion
Westpac,DocuSign eSignature for Document Signing,"Digital Transaction Management, eSignature Platform","DocuSign digital signatures, Secure signing, Audit trail, Electronic contract signing, Email workflow",,Digital document signing and approval workflows,Mature
